school_name,mainlevel_code,Longitude,Latitude
TAMPINES MERIDIAN JUNIOR COLLEGE,JUNIOR COLLEGE,103.9372882,1.3766098
TAMPINES NORTH PRIMARY SCHOOL,PRIMARY,103.9489402,1.3606776
TAMPINES PRIMARY SCHOOL,PRIMARY,103.9444913,1.3496767
TAMPINES SECONDARY SCHOOL,SECONDARY,103.9440577,1.3498319
TANJONG KATONG GIRLS' SCHOOL,SECONDARY,103.8959056,1.3086304
TANJONG KATONG PRIMARY SCHOOL,PRIMARY,103.9004471,1.3053187
TANJONG KATONG SECONDARY SCHOOL,SECONDARY,103.8975991,1.3083424
TAO NAN SCHOOL,PRIMARY,103.9112919,1.3049522
TECK GHEE PRIMARY SCHOOL,PRIMARY,103.8510713,1.3654278
TECK WHYE PRIMARY SCHOOL,PRIMARY,103.7542719,1.3837695
TELOK KURAU PRIMARY SCHOOL,PRIMARY,103.9113621,1.330965
TEMASEK JUNIOR COLLEGE,MIXED LEVELS,103.9562746,1.3574345
TEMASEK PRIMARY SCHOOL,PRIMARY,103.9457544,1.3176287
TEMASEK SECONDARY SCHOOL,SECONDARY,103.9480281,1.3161308
TOWNSVILLE PRIMARY SCHOOL,PRIMARY,103.8553113,1.3602655
UNITY PRIMARY SCHOOL,PRIMARY,103.74729,1.403245
UNITY SECONDARY SCHOOL,SECONDARY,103.7461138,1.3996484
VALOUR PRIMARY SCHOOL,PRIMARY,103.8989026,1.407197
VICTORIA JUNIOR COLLEGE,JUNIOR COLLEGE,103.9188626,1.3072613
VICTORIA SCHOOL,SECONDARY,103.9277994,1.3088257
WATERWAY PRIMARY SCHOOL,PRIMARY,103.9182169,1.3988247
WELLINGTON PRIMARY SCHOOL,PRIMARY,103.82234,1.4518842
WEST GROVE PRIMARY SCHOOL,PRIMARY,103.6987287,1.3445337
WEST SPRING PRIMARY SCHOOL,PRIMARY,103.7665989,1.3890565
WEST SPRING SECONDARY SCHOOL,SECONDARY,103.7599975,1.3876582
WEST VIEW PRIMARY SCHOOL,PRIMARY,103.7602263,1.3837082
WESTWOOD PRIMARY SCHOOL,PRIMARY,103.7003201,1.3475751
WESTWOOD SECONDARY SCHOOL,SECONDARY,103.7018617,1.3538383
WHITE SANDS PRIMARY SCHOOL,PRIMARY,103.9612928,1.3649395
WHITLEY SECONDARY SCHOOL,SECONDARY,103.8432287,1.3553956
WOODGROVE PRIMARY SCHOOL,PRIMARY,103.7905304,1.4334662
WOODGROVE SECONDARY SCHOOL,SECONDARY,103.7963373,1.4286537
WOODLANDS PRIMARY SCHOOL,PRIMARY,103.7912619,1.4367694
WOODLANDS RING PRIMARY SCHOOL,PRIMARY,103.7970082,1.4345047
WOODLANDS RING SECONDARY SCHOOL,SECONDARY,103.7772815,1.4308571
WOODLANDS SECONDARY SCHOOL,SECONDARY,103.7744201,1.4397997
XINGHUA PRIMARY SCHOOL,PRIMARY,103.8901548,1.3578911
XINGNAN PRIMARY SCHOOL,PRIMARY,103.6877208,1.3428242
XINMIN PRIMARY SCHOOL,PRIMARY,103.8829183,1.3711608
XINMIN SECONDARY SCHOOL,SECONDARY,103.8827875,1.3725013
XISHAN PRIMARY SCHOOL,PRIMARY,103.8378986,1.4336635
YANGZHENG PRIMARY SCHOOL,PRIMARY,103.8683258,1.3488686
YEW TEE PRIMARY SCHOOL,PRIMARY,103.7503226,1.3969974
YIO CHU KANG PRIMARY SCHOOL,PRIMARY,103.8856573,1.3779206
YIO CHU KANG SECONDARY SCHOOL,SECONDARY,103.8477804,1.3717963
YISHUN INNOVA JUNIOR COLLEGE,JUNIOR COLLEGE,103.8290613,1.4252965
YISHUN PRIMARY SCHOOL,PRIMARY,103.8340815,1.4335388
YISHUN SECONDARY SCHOOL,SECONDARY,103.8290886,1.4281937
YISHUN TOWN SECONDARY SCHOOL,SECONDARY,103.8384964,1.432482
YU NENG PRIMARY SCHOOL,PRIMARY,103.9324486,1.3339872
YUAN CHING SECONDARY SCHOOL,SECONDARY,103.7211977,1.3422621
YUHUA PRIMARY SCHOOL,PRIMARY,103.7408958,1.3428455
YUHUA SECONDARY SCHOOL,SECONDARY,103.7224462,1.3473212
YUMIN PRIMARY SCHOOL,PRIMARY,103.9509904,1.3515058
YUSOF ISHAK SECONDARY SCHOOL,SECONDARY,103.7605371,1.3427472
YUYING SECONDARY SCHOOL,SECONDARY,103.8901059,1.3571717
ZHANGDE PRIMARY SCHOOL,PRIMARY,103.826395,1.2840704
ZHENGHUA PRIMARY SCHOOL,PRIMARY,103.7692881,1.3798596
ZHENGHUA SECONDARY SCHOOL,SECONDARY,103.7652707,1.3887839
ZHONGHUA PRIMARY SCHOOL,PRIMARY,103.8698395,1.3601834
ZHONGHUA SECONDARY SCHOOL,SECONDARY,103.8692611,1.3493936
CHILDREN'S COVE PRESCHOOL PTE.LTD.,PRESCHOOL,103.807166053402,1.29933286180554
CHILDREN'S COVE PTE. LTD.,PRESCHOOL,103.826031941452,1.31283861068763
CHILDREN'S VINEYARD PRESCHOOL PTE. LTD,PRESCHOOL,103.840907484638,1.34884335934228
CHILDTIME CARE & DEVELOPMENT CENTRE PTE.LTD.,PRESCHOOL,103.804760539464,1.43502365311575
CHILTERN HOUSE,PRESCHOOL,103.839049711393,1.33315018142583
CHILTERN HOUSE EAST COAST,PRESCHOOL,103.880481033646,1.30802739309345
CHILTERN HOUSE MOUNTBATTEN,PRESCHOOL,103.880481033646,1.30802739309345
CHILTERN HOUSE TURF CLUB,PRESCHOOL,103.793705364705,1.33463584452877
CHINESE CHRISTIAN MISSION LIMITED,PRESCHOOL,103.746502071635,1.3474438447262
CHOW & CHOWS CHILDCARE & EARLY LEARNING CENTRE (CCK 542) LTD.,PRESCHOOL,103.74479262074,1.39360501614875
