STATION_NA,coordinates
TAMPINES WEST MRT STATION,"[[103.938948503782, 1.34499919751448], [103.938196740006, 1.34563058761391]]"
TAN KAH KEE MRT STATION,"[[103.807799119073, 1.32533306908018], [103.807800873707, 1.32614615882549]]"
TANAH MERAH MRT STATION,"[[103.945723041582, 1.32706127581436], [103.945794727929, 1.32685774838818]]"
TANJONG PAGAR MRT STATION,"[[103.845656003885, 1.27644796791678], [103.846544590474, 1.2766717422527], [103.84483401421, 1.27640850073994], [103.846533557964, 1.27608922999502], [103.846908800204, 1.27606482826343], [103.847095791197, 1.27625910113258], [103.846927580235, 1.27737948810714], [103.846953147544, 1.27778454036503], [103.846445088412, 1.27545090434532]]"
TECK LEE LRT STATION,"[[103.906781529506, 1.4128757347357], [103.906510789934, 1.41292900309077]]"
TECK WHYE LRT STATION,"[[103.753826102342, 1.37656419493699]]"
TELOK AYER MRT STATION,"[[103.848506543896, 1.28188738923558], [103.848841656061, 1.28225066426407], [103.84877332816, 1.28249727503873]]"
TELOK BLANGAH MRT STATION,"[[103.80988373092, 1.2707212262114]]"
THANGGAM LRT STATION,"[[103.875566364382, 1.39719803592397], [103.875686836958, 1.39719245833865]]"
TIONG BAHRU MRT STATION,"[[103.826990595146, 1.28575945589882], [103.827496413393, 1.28636194139043]]"
TOA PAYOH MRT STATION,"[[103.847577567476, 1.33231553664677], [103.847319773632, 1.33299410183748], [103.846517406156, 1.33327874598633], [103.847723804314, 1.33237644203021]]"
TONGKANG LRT STATION,"[[103.886084357383, 1.38937900794855], [103.885962114119, 1.38918016099808]]"
TUAS CRESCENT MRT STATION,"[[103.648958741267, 1.32076381711222], [103.649286789109, 1.32124359639868]]"
TUAS LINK MRT STATION,"[[103.637245720022, 1.34042689920514], [103.636840667474, 1.34094007226858]]"
TUAS WEST ROAD MRT STATION,"[[103.639284344709, 1.32987242413926], [103.639790711295, 1.33018233023207]]"
UBI MRT STATION,"[[103.898585570916, 1.32983077067473], [103.899876690857, 1.32995082828977]]"
UPPER CHANGI MRT STATION,"[[103.961043080709, 1.34084047406433], [103.961328480539, 1.34186119734213], [103.96096063019, 1.3420065422681], [103.96161727308, 1.34199266734225], [103.961476268426, 1.34103767912256]]"
UPPER THOMSON MRT STATION,"[[103.831833009004, 1.35573657470655], [103.831916196892, 1.35483364468235], [103.83263517825, 1.35441782186373], [103.833924590606, 1.35414456637885], [103.833793867314, 1.35350301029652]]"
WOODLANDS MRT STATION,"[[103.788964328113, 1.43584393593589], [103.787976768822, 1.43449552583778], [103.786508083762, 1.43667311468753], [103.787108225411, 1.43724336703986], [103.788005465669, 1.43754037357975], [103.785735624465, 1.43669687524624], [103.789089109752, 1.43481517513889]]"
WOODLANDS NORTH MRT STATION,"[[103.785429080675, 1.44793650249651], [103.785102271425, 1.44904729970725]]"
WOODLANDS SOUTH MRT STATION,"[[103.793027463346, 1.4273020172478], [103.793413692732, 1.42760496413455], [103.794560497858, 1.42742676003562], [103.794423831787, 1.42668424080276], [103.79436521102, 1.42584338690928]]"
WOODLEIGH MRT STATION,"[[103.871053804158, 1.3398672199419], [103.870940604568, 1.33851065441145], [103.870508468145, 1.33858314946013]]"
YEW TEE MRT STATION,"[[103.747329880035, 1.39806776806003], [103.747195166471, 1.39765547935269], [103.74743189325, 1.39700077173066], [103.747111431, 1.39727251197228]]"
YIO CHU KANG MRT STATION,"[[103.844645760434, 1.38195362130605], [103.844834195491, 1.3816444074307], [103.844946847542, 1.38154752053604]]"
YISHUN MRT STATION,"[[103.834865533461, 1.42963629191008], [103.835643654933, 1.42966559716462], [103.835090842713, 1.42911681431371], [103.834783603184, 1.42939716731595], [103.834863485217, 1.42910650744289]]"
